,url,rated,time_class,time_control,start_time,game_time,played,rating,opponent,opponent_rating,result,info
45,https://www.chess.com/game/daily/130133676,False,daily,1/86400,2016-03-01 08:40:43,2815.0,white,1191,RadioActiveRabbit,1009,loss,checkmated
46,https://www.chess.com/game/daily/130133668,False,daily,1/86400,2016-03-01 08:40:34,71826.0,black,1365,RadioActiveRabbit,1061,loss,checkmated
47,https://www.chess.com/game/daily/130269494,False,daily,1/86400,2016-03-02 07:38:18,67349.0,black,1191,RadioActiveRabbit,1009,win,resigned
48,https://www.chess.com/game/daily/130334454,True,daily,1/86400,2016-03-03 02:33:00,355267.0,white,1320,RadioActiveRabbit,1201,loss,checkmated
49,https://www.chess.com/game/daily/130640468,False,daily,1/86400,2016-03-07 05:28:33,96607.0,black,1320,RadioActiveRabbit,1201,win,resigned
50,https://www.chess.com/game/daily/130640466,False,daily,1/86400,2016-03-07 05:28:32,97301.0,white,1191,RadioActiveRabbit,1009,win,checkmated
51,https://www.chess.com/game/daily/130334458,False,daily,1/86400,2016-03-03 02:33:08,453605.0,black,1191,RadioActiveRabbit,1009,win,resigned
52,https://www.chess.com/game/daily/130586162,True,daily,1/86400,2016-03-06 13:06:40,210123.0,white,1296,Binux33,1408,loss,resigned
53,https://www.chess.com/game/daily/130857272,True,daily,1/86400,2016-03-10 00:38:33,123989.0,white,1296,rei_vaj,1366,loss,timeout
54,https://www.chess.com/game/daily/131033612,True,daily,1/86400,2016-03-12 10:54:54,178636.0,black,1254,Robredoescacs,1041,win,checkmated
55,https://www.chess.com/game/daily/131158796,False,daily,1/86400,2016-03-14 05:10:38,179897.0,black,1296,RadioActiveRabbit,1201,loss,resigned
56,https://www.chess.com/game/daily/131158674,False,daily,1/86400,2016-03-14 05:07:11,512707.0,white,1254,RadioActiveRabbit,1009,loss,resigned
57,https://www.chess.com/game/daily/131553264,False,daily,1/86400,2016-03-19 08:07:17,70993.0,black,1254,RadioActiveRabbit,1009,win,resigned
58,https://www.chess.com/game/daily/131553278,False,daily,1/86400,2016-03-19 08:07:35,72105.0,white,1296,RadioActiveRabbit,1201,loss,resigned
59,https://www.chess.com/game/daily/131336194,True,daily,1/86400,2016-03-16 07:48:53,448794.0,black,1274,Baindero,1383,loss,resigned
60,https://www.chess.com/game/daily/131928730,True,daily,1/86400,2016-03-24 10:14:50,78435.0,black,1261,dennis780,1490,loss,resigned
61,https://www.chess.com/game/daily/131221550,True,daily,1/86400,2016-03-15 00:00:44,910807.0,white,1165,Robredoescacs,1218,loss,resigned
62,https://www.chess.com/game/daily/131839356,False,daily,1/86400,2016-03-23 03:52:03,264092.0,black,1165,RadioActiveRabbit,1009,loss,checkmated
63,https://www.chess.com/game/daily/131930270,False,daily,1/86400,2016-03-24 10:54:16,171220.0,white,1261,RadioActiveRabbit,1276,win,resigned
64,https://www.chess.com/game/daily/131336118,True,daily,1/86400,2016-03-16 07:46:33,1024162.0,black,1267,bluntmaaan,1339,draw,stalemate
65,https://www.chess.com/game/daily/132085998,True,daily,1/86400,2016-03-26 12:46:20,219274.0,white,1217,ayman90,1030,win,resigned
66,https://www.chess.com/game/daily/131928742,True,daily,1/86400,2016-03-24 10:15:07,530683.0,white,1248,davfrt,1389,loss,resigned
67,https://www.chess.com/game/daily/132304736,True,daily,1/86400,2016-03-29 11:10:06,132599.0,black,1265,davyjones896,1144,win,timeout
68,https://www.chess.com/game/daily/132370312,False,daily,1/86400,2016-03-30 06:24:42,94007.0,white,1217,RadioActiveRabbit,1009,win,checkmated
69,https://www.chess.com/game/daily/132311230,True,daily,1/86400,2016-03-29 13:13:12,160645.0,black,1136,shahiasheesh,1114,loss,resigned
70,https://www.chess.com/game/live/1522351581,True,rapid,1800,,,white,982,Shahists,1292,loss,checkmated
71,https://www.chess.com/game/daily/132085980,True,daily,1/86400,2016-03-26 12:45:51,507710.0,white,1289,AllesFuerAlle,1276,win,checkmated
72,https://www.chess.com/game/daily/132370310,False,daily,1/86400,2016-03-30 06:24:41,254684.0,black,1289,RadioActiveRabbit,1276,loss,resigned
73,https://www.chess.com/game/daily/132311250,True,daily,1/86400,2016-03-29 13:13:31,406498.0,white,1083,shahiasheesh,1158,loss,resigned
74,https://www.chess.com/game/daily/132526910,False,daily,1/86400,2016-04-01 06:32:52,172055.0,white,1289,RadioActiveRabbit,1276,loss,resigned
75,https://www.chess.com/game/daily/132686716,True,daily,1/86400,2016-04-03 02:46:50,27228.0,black,1267,Jro68,1304,loss,resigned
76,https://www.chess.com/game/daily/132630216,True,daily,1/86400,2016-04-02 08:49:09,97229.0,black,1289,Scopacchione,1290,win,resigned
